,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_rec,split1_test_rec,split2_test_rec,split3_test_rec,split4_test_rec,mean_test_rec,std_test_rec,rank_test_rec,split0_train_rec,split1_train_rec,split2_train_rec,split3_train_rec,split4_train_rec,mean_train_rec,std_train_rec,split0_test_pre,split1_test_pre,split2_test_pre,split3_test_pre,split4_test_pre,mean_test_pre,std_test_pre,rank_test_pre,split0_train_pre,split1_train_pre,split2_train_pre,split3_train_pre,split4_train_pre,mean_train_pre,std_train_pre,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_roc,split1_test_roc,split2_test_roc,split3_test_roc,split4_test_roc,mean_test_roc,std_test_roc,rank_test_roc,split0_train_roc,split1_train_roc,split2_train_roc,split3_train_roc,split4_train_roc,mean_train_roc,std_train_roc,split0_test_cost,split1_test_cost,split2_test_cost,split3_test_cost,split4_test_cost,mean_test_cost,std_test_cost,rank_test_cost,split0_train_cost,split1_train_cost,split2_train_cost,split3_train_cost,split4_train_cost,mean_train_cost,std_train_cost
36,0.08791575431823731,0.008515557940590912,0.03137717247009277,0.002286796464548893,10000,1,0.001,poly,"{'C': 10000, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.7971830985915493,0.7661971830985915,0.7887323943661971,0.8112676056338028,0.8056338028169014,0.7938028169014084,0.015774647887323967,24,0.7912552891396333,0.7891396332863188,0.7891396332863188,0.7877291960507757,0.7905500705218618,0.7895627644569816,0.0012295906751877762,0.8088235294117647,0.7941176470588235,0.7892156862745098,0.8235294117647058,0.8137254901960784,0.8058823529411765,0.012631469339926598,33,0.8058968058968059,0.7936117936117936,0.7960687960687961,0.7960687960687961,0.7899262899262899,0.7963144963144964,0.005292545264997071,0.8333333333333334,0.7980295566502463,0.8341968911917098,0.8442211055276382,0.8426395939086294,0.8304840961223114,0.016802747906762568,29,0.8261964735516373,0.8314028314028314,0.8297055057618438,0.8275862068965517,0.8361508452535761,0.830208372573288,0.0034630528461943077,0.8208955223880597,0.796068796068796,0.8110831234256927,0.8337468982630273,0.827930174563591,0.8179449029418333,0.01329483306142986,25,0.8159203980099502,0.8120678818353236,0.812539184952978,0.8115216030056356,0.8123815540113708,0.8128861243630517,0.0015564841231023134,0.5875969867660265,0.5221539320323051,0.5730141009086659,0.6158369999085841,0.6052721892564851,0.5807748417744134,0.03278004510902094,24,0.5752014028720176,0.5730063775809208,0.572479558672378,0.5693549087561526,0.5769765875974492,0.5734037670957837,0.0025846421110836534,0.8639787040644072,0.8518374237112064,0.8659589663680042,0.8783274899363719,0.8859239059862357,0.869205298013245,0.01185095143239767,24,0.8691117366614055,0.8739423499357274,0.8693212327318287,0.8639475568283514,0.8634044941991961,0.8679454740713017,0.003894078605646514,-369.0,-452.0,-363.0,-346.0,-348.0,-375.6,39.184690888151714,32,-1538.0,-1478.0,-1496.0,-1516.0,-1431.0,-1491.8,36.4
37,0.17371516227722167,0.003712901071805521,0.03346529006958008,0.004420925365446442,10000,1,0.01,poly,"{'C': 10000, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.7915492957746478,0.7859154929577464,0.7915492957746478,0.8169014084507042,0.819718309859155,0.8011267605633803,0.014207910099063125,17,0.7968970380818053,0.7968970380818053,0.7940761636107193,0.7947813822284908,0.7947813822284908,0.7954866008462623,0.001180056454914068,0.7941176470588235,0.8137254901960784,0.7794117647058824,0.8284313725490197,0.8235294117647058,0.807843137254902,0.0184459683551243,30,0.8206388206388207,0.812039312039312,0.800982800982801,0.8144963144963145,0.7936117936117936,0.8083538083538084,0.009735436243812777,0.8350515463917526,0.8137254901960784,0.8457446808510638,0.8492462311557789,0.8571428571428571,0.8401821611475061,0.015013612788520462,20,0.8246913580246914,0.8304020100502513,0.8337595907928389,0.825653798256538,0.8400520156046815,0.8309117545458001,0.005625901175541673,0.8140703517587939,0.8137254901960784,0.8112244897959183,0.8387096774193549,0.84,0.823546001834029,0.012951611212413033,17,0.8226600985221676,0.8211180124223603,0.8170426065162908,0.8200371057513914,0.8161718256475047,0.8194059297719429,0.002448017592757303,0.5781756603497874,0.5620698610570056,0.5817948406712149,0.6273168431645989,0.6344026497722557,0.5967519710029725,0.028717342626340875,17,0.5850494259116119,0.5864717434761182,0.5823871522646943,0.5814153547139305,0.5855643752158488,0.5841776103164407,0.0019381445932235644,0.8682963251525777,0.8594663030775224,0.8715751201142709,0.8842682768471628,0.8914751330995975,0.8750162316582264,0.011448095455598611,20,0.8723965536879444,0.8793872138242999,0.875589843305075,0.8669618595115285,0.8665713425647201,0.8721813625787135,0.0049457835996887,-362.0,-418.0,-335.0,-335.0,-316.0,-353.2,35.56065241246285,20,-1566.0,-1503.0,-1462.0,-1551.0,-1398.0,-1496.0,61.211110102660285
38,0.9394324779510498,0.12871693042345725,0.02500462532043457,0.007648705577787867,10000,1,0.1,poly,"{'C': 10000, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.7887323943661971,0.780281690140845,0.7887323943661971,0.8140845070422535,0.8169014084507042,0.7977464788732395,0.014841622391345939,22,0.7947813822284908,0.7997179125528914,0.7983074753173484,0.7968970380818053,0.7919605077574048,0.7963328631875882,0.002727655797717022,0.7941176470588235,0.8186274509803921,0.7745098039215687,0.8186274509803921,0.8088235294117647,0.8029411764705883,0.016810223724982584,37,0.8181818181818182,0.8181818181818182,0.800982800982801,0.816953316953317,0.7948402948402948,0.80982800982801,0.009931883504377294,0.8307692307692308,0.8028846153846154,0.8449197860962567,0.8520408163265306,0.8638743455497382,0.8388977588252743,0.020956402965078762,25,0.823238566131026,0.830423940149626,0.8402061855670103,0.8271144278606966,0.8348387096774194,0.8311643658771557,0.005916482662482461,0.8120300751879699,0.8106796116504855,0.8081841432225064,0.8349999999999999,0.8354430379746836,0.820267373607129,0.012273009333818561,22,0.8207024029574862,0.8242574257425742,0.820125786163522,0.8220024721878862,0.814348646947766,0.820287346799847,0.0032914954441558564,0.5719102513426232,0.5491403150861099,0.5767556409822974,0.6229449299579928,0.6313316684590711,0.5904165611656189,0.03151181846565937,23,0.5808217205774262,0.5915885088571978,0.5917643614512151,0.5856309359096837,0.5790060680616156,0.5857623189714276,0.005292309568993172,0.8695948578106738,0.8600506427736657,0.8762498376834177,0.8851447863913777,0.8947863913777432,0.8771653032073756,0.01204355614079857,18,0.8756000130172316,0.8800970597328212,0.8777376865125209,0.8673523764583368,0.8705761752119368,0.8742726621865694,0.004674317727709291,-372.0,-447.0,-336.0,-327.0,-299.0,-356.2,51.04272719986658,25,-1578.0,-1508.0,-1402.0,-1539.0,-1447.0,-1494.8,63.161380605556744
39,7.372391223907471,1.5395790454187255,0.030222177505493164,0.00795103211913882,10000,1,1,poly,"{'C': 10000, 'degree': 1, 'gamma': 1, 'kernel': 'poly'}",0.7859154929577464,0.780281690140845,0.7915492957746478,0.8169014084507042,0.8225352112676056,0.7994366197183098,0.017032356572203942,20,0.7976022566995769,0.7990126939351199,0.8018335684062059,0.7976022566995769,0.7947813822284908,0.7981664315937941,0.002291689253776008,0.7892156862745098,0.8137254901960784,0.7843137254901961,0.8235294117647058,0.8186274509803921,0.8058823529411765,0.01598971218656871,33,0.8194103194103194,0.816953316953317,0.8071253071253072,0.8157248157248157,0.7985257985257985,0.8115479115479115,0.007715144210372266,0.8298969072164949,0.8058252427184466,0.8421052631578947,0.8527918781725888,0.8652849740932642,0.8391808530717377,0.020366765603002265,24,0.8265179677819083,0.8302122347066168,0.8412291933418694,0.8289637952559301,0.8365508365508365,0.8326948055274321,0.005402622894143499,0.8090452261306532,0.8097560975609757,0.8121827411167514,0.8379052369077307,0.8413098236775818,0.8220398250787386,0.01442189867034735,20,0.8229487970388648,0.823529411764706,0.8238244514106583,0.8222910216718265,0.8170961659333752,0.8219379695638862,0.002477134732236944,0.5667307869571157,0.5498073772894115,0.5805160122107896,0.6282016127103376,0.641648191609642,0.5933807961554592,0.0355432109336504,20,0.5867748939103019,0.590252459891576,0.5982839034178197,0.5873758119168779,0.5844685259626488,0.5894311190198448,0.004794862696595309,0.8700168809245552,0.8603428126217374,0.8760875211011557,0.8861511492014026,0.8944942215296714,0.8774185170757045,0.011966402943570773,16,0.8757789999511854,0.8802435035878745,0.8777417543973834,0.8677652667718894,0.8708182143612608,0.8744695478139187,0.004561582759904115,-373.0,-438.0,-344.0,-326.0,-297.0,-355.6,48.0358199680197,24,-1547.0,-1509.0,-1397.0,-1520.0,-1434.0,-1481.4,56.43615862193315
40,0.07711520195007324,0.004569315436552522,0.035210466384887694,0.006052472099796948,10000,2,0.001,poly,"{'C': 10000, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",0.7690140845070422,0.7633802816901408,0.7690140845070422,0.7915492957746478,0.8056338028169014,0.7797183098591549,0.016172056444402633,32,0.7771509167842031,0.7764456981664316,0.7743300423131171,0.7764456981664316,0.768688293370945,0.7746121297602256,0.0031093663871718715,0.7745098039215687,0.7598039215686274,0.7647058823529411,0.7745098039215687,0.7990196078431373,0.7745098039215685,0.013513773286362994,44,0.7813267813267813,0.7727272727272727,0.7592137592137592,0.773955773955774,0.7641277641277642,0.7702702702702704,0.007769723980757686,0.8144329896907216,0.8157894736842105,0.8210526315789474,0.8494623655913979,0.8534031413612565,0.8308281203813067,0.01701404157136968,26,0.8217054263565892,0.8265440210249672,0.8328840970350404,0.8256880733944955,0.820580474934037,0.8254804185490258,0.00434163193670257,0.793969849246231,0.7868020304568527,0.7918781725888325,0.8102564102564103,0.8253164556962026,0.8016445836489059,0.014206384495332793,32,0.8010075566750631,0.7987301587301587,0.7943444730077119,0.798985415345593,0.7913486005089059,0.7968832408534865,0.003519028563485661,0.5323961667791005,0.5233976130049054,0.5348212928460823,0.5831463004655328,0.6084748286953701,0.5564472403581983,0.033341035896002916,32,0.5490659858002178,0.5495532985862815,0.5484020656993971,0.5492461977800683,0.5342965983927607,0.5461128292517451,0.005920133045836617,0.8540124659135176,0.8388845604466953,0.8525191533567069,0.8719646799116998,0.8824503311258279,0.8599662381508895,0.01539376920837125,30,0.8571399515108125,0.8589969409505833,0.8561372178921848,0.8517154270465529,0.8506516751549864,0.8549282425110241,0.0032099469379895233,-406.0,-399.0,-388.0,-326.0,-321.0,-368.0,36.81847362398393,26,-1558.0,-1505.0,-1436.0,-1514.0,-1552.0,-1513.0,43.68065933568311
41,0.08097481727600098,0.01154371709829336,0.027889442443847657,0.006142658587145501,10000,2,0.01,poly,"{'C': 10000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.8422535211267606,0.8112676056338028,0.828169014084507,0.8535211267605634,0.856338028169014,0.8383098591549295,0.01676943782099966,12,0.8624823695345557,0.8547249647390691,0.8561354019746121,0.8540197461212976,0.8554301833568406,0.856558533145275,0.003044715535250052,0.8627450980392157,0.8382352941176471,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8578431372549019,0.023610969762337834,24,0.8857493857493858,0.8624078624078624,0.8525798525798526,0.8673218673218673,0.8587223587223587,0.8653562653562652,0.011275473125880864,0.8627450980392157,0.8341463414634146,0.8704663212435233,0.8653846153846154,0.8695652173913043,0.8604615187044147,0.01345298162010499,13,0.8760631834750912,0.8819095477386935,0.8920308483290489,0.8770186335403727,0.8859315589353612,0.8825907544037135,0.0059058971190188115,0.8627450980392157,0.8361858190709046,0.8463476070528967,0.8737864077669903,0.8759124087591241,0.8589954681378262,0.015487175210962675,12,0.8808796579108125,0.8720496894409937,0.8718592964824122,0.872143298332304,0.8721147847785402,0.8738093453890127,0.0035365420231402195,0.6773146344630567,0.6136078002117767,0.6530872067264714,0.6995160674223349,0.7054713873415066,0.6697994192330292,0.03361203071338225,12,0.7183164891750298,0.7043076614942363,0.7090047217397913,0.7021240702377152,0.706400962279873,0.7080307809853291,0.005624082381517281,0.9055966757563952,0.8995584988962473,0.9137125048694974,0.9226399168939099,0.9259836384885081,0.9134982469809116,0.009962453922794413,12,0.9239630961485267,0.9264689132238801,0.9234281692890964,0.9216932163952032,0.9220369526660919,0.9235180695445597,0.0016992589783993977,-308.0,-373.0,-286.0,-304.0,-294.0,-313.0,30.97095413447897,15,-1113.0,-1052.0,-960.0,-1098.0,-1015.0,-1047.6,55.80895985413095
42,0.46492624282836914,0.03614914257452857,0.021855640411376952,0.007249773558942122,10000,2,0.1,poly,"{'C': 10000, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.8704225352112676,0.8929577464788733,0.9070422535211268,0.9211267605633803,0.9154929577464789,0.9014084507042254,0.018168468165179846,7,0.9351198871650211,0.9379407616361072,0.9358251057827927,0.922425952045134,0.9330042313117066,0.9328631875881523,0.005451663777175645,0.9215686274509803,0.9509803921568627,0.9509803921568627,0.9803921568627451,0.9754901960784313,0.9558823529411764,0.021027069205418848,19,0.9766584766584766,0.9717444717444718,0.9791154791154791,0.9742014742014742,0.9778869778869779,0.9759213759213757,0.0026462726324985248,0.8623853211009175,0.8738738738738738,0.8940092165898618,0.8928571428571429,0.8883928571428571,0.8823036823129305,0.012274167148670318,7,0.9158986175115207,0.9240654205607477,0.9150401836969001,0.8990929705215419,0.9117983963344788,0.9131791177250378,0.008120305039442692,0.8909952606635071,0.9107981220657277,0.9216152019002375,0.9345794392523364,0.9299065420560747,0.9175789131875767,0.01555602556136092,7,0.9453032104637336,0.9473053892215569,0.9459940652818991,0.9351415094339621,0.943687018375815,0.9434862385553935,0.00433246604748572,0.7341573057380303,0.7819424126664439,0.8100231793450934,0.8416392187386436,0.8298315234077781,0.7995187279791979,0.03843016311277253,7,0.868481362561029,0.8735826491485632,0.8701727020137281,0.843220133539066,0.8644708534538718,0.8639855401432517,0.010789212510003886,0.9276717309440332,0.9231593299571484,0.9486105700558369,0.9513050253213868,0.9556226464095572,0.9412738605375927,0.013217362649969559,8,0.9717993881901167,0.9705485135948712,0.9676521795727094,0.9645748246741623,0.9685532160697724,0.9686256244203264,0.002495279369854994,-316.0,-290.0,-240.0,-244.0,-255.0,-269.0,29.366647748764244,7,-749.0,-673.0,-757.0,-911.0,-788.0,-775.6,77.54637322273686
43,33.32885003089905,6.152018715560931,0.009684467315673828,0.007927503973413148,10000,2,1,poly,"{'C': 10000, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.9014084507042254,0.9154929577464789,0.9267605633802817,0.9352112676056338,0.9154929577464789,0.9188732394366197,0.01146309292922579,4,0.9746121297602257,0.9724964739069112,0.9746121297602257,0.9710860366713682,0.9682651622002821,0.9722143864598026,0.0023852658004637145,0.9558823529411765,0.9803921568627451,0.9705882352941176,0.9803921568627451,0.9754901960784313,0.972549019607843,0.009091782838721245,18,0.9864864864864865,0.9889434889434889,0.9938574938574939,0.9914004914004914,0.9914004914004914,0.9904176904176903,0.0025056606946401837,0.8823529411764706,0.8849557522123894,0.908256880733945,0.91324200913242,0.8883928571428571,0.8954400880796165,0.01274391418388921,4,0.9698067632850241,0.9640718562874252,0.9630952380952381,0.9595719381688466,0.9550295857988166,0.96231507632707,0.004907616139878272,0.9176470588235294,0.9302325581395348,0.9383886255924171,0.945626477541371,0.9299065420560747,0.9323602524305853,0.009374005071314986,4,0.9780755176613886,0.976349302607641,0.9782345828295043,0.975226586102719,0.9728752260397829,0.976152243048207,0.001983413115146564,0.7992877604931441,0.8307626121924924,0.8511978318458985,0.8690741116425055,0.8298315234077781,0.8360307679163637,0.023401431941475315,4,0.9481243740581397,0.9439429380289892,0.9484701552344935,0.9412544684126223,0.935622461147924,0.9434828793764337,0.0047619331679309455,0.9262108817036748,0.9348136605635632,0.9653616413452798,0.9634138423581353,0.9508830022075057,0.9481366056356318,0.015465294995814385,5,0.9879448232097239,0.9854756170981336,0.981478920220642,0.9814362074295848,0.9842979644304147,0.9841267064776998,0.002476952228793331,-269.0,-264.0,-206.0,-194.0,-255.0,-237.6,31.257639066314653,4,-261.0,-309.0,-315.0,-347.0,-387.0,-323.8,41.88746829303485
44,0.07383913993835449,0.008254777619623422,0.03593668937683105,0.009477502961738861,10000,3,0.001,poly,"{'C': 10000, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,37,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,37,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.5740479548660085,0.0,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.0,37,0.7293906810035842,0.7293906810035842,0.7293906810035842,0.7293906810035842,0.7293906810035842,0.7293906810035842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8524866900402543,0.8298272951564732,0.8363524217634074,0.8605700558369044,0.8653746266718607,0.8489222178937801,0.013723521371253015,47,0.8366540833428251,0.8372317229933124,0.8343638641651887,0.8309122638592837,0.8300071594773581,0.8338338187675938,0.0029311908136724833,-1510.0,-1510.0,-1510.0,-1510.0,-1510.0,-1510.0,0.0,37,-6040.0,-6040.0,-6040.0,-6040.0,-6040.0,-6040.0,0.0
45,0.07783851623535157,0.005768530499563814,0.045205879211425784,0.012266273154334746,10000,3,0.01,poly,"{'C': 10000, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.7887323943661971,0.7746478873239436,0.7830985915492957,0.8140845070422535,0.819718309859155,0.7960563380281691,0.01769049968237477,23,0.7926657263751763,0.7905500705218618,0.7912552891396333,0.7954866008462623,0.7849083215796897,0.7909732016925247,0.00347208282795237,0.7794117647058824,0.7696078431372549,0.7598039215686274,0.7892156862745098,0.7892156862745098,0.7774509803921568,0.011433239009500582,43,0.7764127764127764,0.7604422604422605,0.7628992628992629,0.7641277641277642,0.742014742014742,0.7611793611793611,0.011059240722286864,0.8412698412698413,0.8263157894736842,0.8469945355191257,0.875,0.8846153846153846,0.8548391101756071,0.021690229284482405,16,0.8494623655913979,0.8585298196948682,0.8577348066298343,0.8638888888888889,0.8640915593705293,0.8587414880351038,0.005334403867480413,0.8091603053435115,0.7969543147208121,0.8010335917312662,0.8298969072164949,0.8341968911917099,0.814248402040759,0.015115709241626772,31,0.8112965340179717,0.806514657980456,0.8075422626788038,0.8109517601043025,0.7984137475214805,0.8069437924606028,0.004654334611214799,0.575436705141609,0.546244972687259,0.5682090569063343,0.6301825063284172,0.6430631075880346,0.5926272697303309,0.037409227855532086,21,0.5851790088954281,0.5851286841276906,0.5859685599884413,0.5953108754660072,0.5783396867675525,0.5859853630490239,0.005418596419341218,0.8633619010518114,0.8529087131541359,0.8629723412543826,0.8861511492014024,0.8927736657576937,0.8716335540838852,0.015177097278350848,23,0.8737694648290675,0.8745749060318597,0.8728033421742032,0.8693334363864165,0.8679401858209805,0.8716842670485054,0.00258846370240055,-345.0,-377.0,-329.0,-273.0,-253.0,-315.4,45.92864030210344,18,-1302.0,-1215.0,-1223.0,-1172.0,-1160.0,-1214.4,50.010398918624915
46,0.24269118309020996,0.029501097086763947,0.034963035583496095,0.007207297872158744,10000,3,0.1,poly,"{'C': 10000, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.8873239436619719,0.9098591549295775,0.9211267605633803,0.9014084507042254,0.9183098591549296,0.9076056338028169,0.012265656933564626,6,0.9471086036671368,0.9520451339915373,0.9506346967559943,0.9485190409026798,0.9513399153737658,0.9499294781382229,0.0018389851636678811,0.9362745098039216,0.9901960784313726,0.9803921568627451,0.9852941176470589,0.9803921568627451,0.9745098039215685,0.019460228667920798,16,0.9864864864864865,0.9901719901719902,0.9901719901719902,0.9914004914004914,0.9938574938574939,0.9904176904176906,0.002382152264086644,0.8761467889908257,0.8706896551724138,0.8928571428571429,0.8626609442060086,0.8888888888888888,0.8782486840230559,0.011235261826850548,10,0.9261822376009228,0.930715935334873,0.9285714285714286,0.9243986254295533,0.9266895761741123,0.9273115606221781,0.0021598361516740037,0.9052132701421801,0.9266055045871561,0.9345794392523364,0.9199084668192221,0.9324009324009324,0.9237415226403656,0.010570115080220203,6,0.9553837001784653,0.9595238095238096,0.9583828775267539,0.9567279193835211,0.959098992294013,0.9578234597813126,0.0015481444593162862,0.7692694635703907,0.8223737161520246,0.8416392187386436,0.8050725471703204,0.8361943502504902,0.8149098591763739,0.026088372131742116,6,0.8932800136392313,0.9034395294788786,0.9006770006551994,0.8967210875384662,0.9025847664629381,0.8993404795549427,0.003813249483661441,0.9458511881573822,0.942897026360213,0.9604272172445137,0.9656862745098039,0.96886767952214,0.9567458771588105,0.010496723098524934,4,0.9843427111639032,0.9808524659518036,0.9793066697040207,0.9792171762370437,0.9831121759929706,0.9813662398099485,0.002050948157074147,-283.0,-302.0,-244.0,-323.0,-254.0,-281.2,29.348935244740993,11,-651.0,-608.0,-628.0,-667.0,-645.0,-639.8,20.21286718899622
47,2.3025763988494874,0.5196190921806894,0.026372814178466798,0.00913937307321669,10000,3,1,poly,"{'C': 10000, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.923943661971831,0.9549295774647887,0.9436619718309859,0.9408450704225352,0.9436619718309859,0.9414084507042253,0.009983124026292579,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9803921568627451,0.9852941176470589,0.9803921568627451,0.9852941176470589,0.9901960784313726,0.9843137254901961,0.003668291555660761,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8968609865470852,0.9392523364485982,0.9259259259259259,0.9178082191780822,0.9181818181818182,0.919605857256302,0.013773278085967754,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.936768149882904,0.9617224880382776,0.9523809523809523,0.9503546099290779,0.9528301886792454,0.9508112777820914,0.008037566491576553,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8470976049356997,0.9085400780505829,0.8857175913019841,0.8807942647208025,0.8870311895681073,0.8818361457154353,0.019814165812090067,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9696143358005453,0.9712375016231658,0.9747435398000259,0.9765939488378133,0.9516945851188158,0.9687767822360731,0.008891213457504646,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-234.0,-133.0,-164.0,-183.0,-182.0,-179.2,32.83534680797509,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
